Monat;Budget;Google (IC);LinkedIn;Meta;Messen;PR;Content;Tools;Werbemittel;Reserve
Januar;3500;2200;450;200;0;250;200;150;50;0
Februar;3500;2200;450;200;0;250;200;150;50;0
Maerz;5000;2800;550;300;500;300;250;150;150;0
April;5500;2800;650;400;800;300;250;150;150;0
Mai;4500;2600;550;350;400;250;200;100;50;0
Juni;4000;2400;500;350;200;200;200;100;50;0
Juli;3500;2300;450;250;0;200;200;100;0;0
August;3500;2300;450;250;0;200;200;100;0;0
September;4500;2600;550;350;400;250;200;100;50;0
Oktober;5500;2800;650;500;700;300;250;150;150;0
November;5000;2600;500;500;500;300;200;150;250;0
Dezember;4000;2400;250;350;0;200;150;100;50;500
GESAMT;52000;30000;6000;4000;3500;3000;2500;1500;1000;500
