Monat;Budget;Google Ads;LinkedIn;Messen;Content;Microsoft Ads;Tools
Januar;3500;2000;600;300;350;150;100
Februar;3500;2000;600;300;350;150;100
März;5500;3000;800;1000;400;200;100
April;6000;3200;900;1100;450;200;150
Mai;5000;2800;800;600;450;200;150
Juni;4500;2600;700;500;400;200;100
Juli;4000;2400;600;300;400;200;100
August;3500;2200;500;200;350;150;100
September;5000;2800;800;600;450;200;150
Oktober;5500;3000;800;800;500;250;150
November;5000;2800;800;500;500;250;150
Dezember;4000;2200;600;400;450;200;150
GESAMT;55000;32000;8000;6000;5000;2000;2000
