Monat;Budget;Google Ads;Microsoft Ads;GAds Mgmt;Messen;LinkedIn;Video;PR;Werbemittel;Meta;SEO;Tools;Reserve
Januar;20500;13500;1700;1250;500;700;1000;600;500;250;300;200;0
Februar;20500;13500;1700;1250;500;700;1000;600;500;250;300;200;0
Maerz;24000;15000;1800;1250;2000;800;1000;650;700;350;300;150;0
April;22500;14000;1800;1250;1500;800;1000;650;700;350;300;150;0
Mai;27000;15500;1900;1250;3500;1000;1200;750;800;500;400;200;0
Juni;23000;14500;1800;1250;1500;900;1000;600;600;400;350;100;0
Juli;21000;14000;1700;1250;500;800;1000;500;500;300;300;150;0
August;18500;12500;1500;1250;300;600;800;400;400;250;250;250;0
September;25000;15000;1900;1250;2500;900;1000;700;700;500;350;200;0
Oktober;28000;15500;2000;1250;3500;1200;1200;900;1000;600;400;450;0
November;26000;14500;1800;1250;2500;1000;1000;850;800;500;400;1400;0
Dezember;24000;12500;1400;1250;1200;600;800;800;800;750;350;1550;2000
GESAMT;280000;170000;21000;15000;20000;10000;12000;8000;8000;5000;4000;5000;2000
