Company,Year,Channel,Amount
Microvista,2023,Content/Video,6095.20
Microvista,2023,Freelancer/Agentur,0.00
Microvista,2023,Google Ads,12760.59
Microvista,2023,Messen/Events,4299.00
Microvista,2023,PR/Presse,1660.00
Microvista,2023,SEO,1015.00
Microvista,2023,Sonstiges,96.27
Microvista,2023,Tools/Software,80.84
Microvista,2023,Werbemittel/Druck,232.20
Microvista,2024,Content/Video,-33.26
Microvista,2024,Freelancer/Agentur,339.38
Microvista,2024,Google Ads,20957.36
Microvista,2024,LinkedIn,637.20
Microvista,2024,PR/Presse,717.87
Microvista,2024,Tools/Software,72.53
Microvista,2024,Werbemittel/Druck,100.00
Microvista,2025,Freelancer/Agentur,371.42
Microvista,2025,Google Ads,32909.63
Microvista,2025,LinkedIn,1341.00
Microvista,2025,Meta/Facebook/Instagram,2231.47
Microvista,2025,PR/Presse,3055.14
Microvista,2025,SEO,770.50
Microvista,2025,Sonstiges,2393.04
Microvista,2025,Tools/Software,21.56
Microvista,2025,Werbemittel/Druck,1257.27
NetCo,2023,Content/Video,18167.56
NetCo,2023,Freelancer/Agentur,750.00
NetCo,2023,Google Ads Allgemein,4196.30
NetCo,2023,Google Ads BC,17064.48
NetCo,2023,Google Ads BSK,95485.90
NetCo,2023,Google Ads Marketing,691.19
NetCo,2023,LinkedIn,3285.89
NetCo,2023,Messen/Events,5966.49
NetCo,2023,PR/Presse,6946.95
NetCo,2023,SEO,11837.00
NetCo,2023,Sonstiges,2683.11
NetCo,2023,Tools/Software,3220.48
NetCo,2023,Werbemittel/Druck,10646.78
NetCo,2024,Content/Video,1123.16
NetCo,2024,Freelancer/Agentur,1282.36
NetCo,2024,Google Ads Allgemein,6376.53
NetCo,2024,Google Ads BC,19610.66
NetCo,2024,Google Ads BSK,133422.04
NetCo,2024,Google Ads Marketing,1822.78
NetCo,2024,LinkedIn,3156.89
NetCo,2024,Messen/Events,10928.06
NetCo,2024,PR/Presse,2911.36
NetCo,2024,SEO,4411.17
NetCo,2024,Sonstiges,6827.11
NetCo,2024,Tools/Software,2744.68
NetCo,2024,Werbemittel/Druck,5262.50
NetCo,2025,Content/Video,2930.13
NetCo,2025,Freelancer/Agentur,13406.68
NetCo,2025,Google Ads Allgemein,11224.89
NetCo,2025,Google Ads BC,49092.97
NetCo,2025,Google Ads BSK,132913.55
NetCo,2025,Google Ads Marketing,3993.46
NetCo,2025,LinkedIn,3485.81
NetCo,2025,Messen/Events,14134.36
NetCo,2025,Meta/Facebook/Instagram,1432.95
NetCo,2025,PR/Presse,3872.67
NetCo,2025,SEO,14824.70
NetCo,2025,Sonstiges,-6274.40
NetCo,2025,Tools/Software,1732.09
NetCo,2025,Werbemittel/Druck,4242.43
